model,count,mean,median,std,min,p25,p75,p90,p95,p99,max
Claude-Opus-4.6,1372,15147.160349854228,7643.5,21640.055815446503,561,3732.75,16668.0,34442.0,60936.35000000002,112562.69999999995,185694
Claude-Opus-4.7,1372,3872.7551020408164,1978.5,5612.61405672572,154,941.75,4311.0,9011.900000000001,13652.800000000008,29095.409999999993,47426
Claude-Sonnet-4.6,1372,14839.520408163266,10523.5,14546.4372386764,1194,4945.25,19237.5,32331.500000000007,43607.00000000001,67967.46999999994,127594
DeepSeek-v4-flash-max,1372,52540.74198250729,31894.5,62715.58137660287,2541,15858.5,66036.75,113660.20000000004,177515.20000000007,323985.10999999923,635976
GPT-5.4-medium,1372,2753.058309037901,1967.5,2516.3706071121396,212,1001.75,3662.75,6156.700000000001,7887.350000000006,11929.649999999998,19920
GPT-5.5-medium,1372,2798.0320699708454,1733.5,3388.8356084179977,182,885.5,3477.0,5968.8,8868.95,18730.259999999995,27923
GPT-5.5-xhigh,1372,7708.053935860058,4626.5,10008.534551871684,443,2201.75,8872.25,16751.300000000003,25088.2,54730.83999999998,112625
Gemini-2.5-Flash,1372,23272.311953352768,15293.0,25438.186534609187,1714,7601.25,29064.25,49724.5,67780.25000000004,131139.0599999999,291473
Gemini-3-Flash,1372,1977.2784256559767,1463.0,1740.6176288497243,115,703.75,2620.0,4388.9000000000015,5477.650000000001,8096.179999999988,12553
Gemini-3.1-Pro,1372,2814.237609329446,1974.5,2629.7900710978365,258,995.0,3692.0,6335.500000000007,7890.750000000004,12202.689999999999,19836
Gemma-4-31B-IT,1372,4091.7201166180757,2976.5,3576.4382973316556,342,1434.0,5441.25,9236.600000000002,11961.0,16442.019999999997,18714
Kimi-K2.6,1372,31111.950437317784,21832.5,30273.16133862548,1879,11189.25,39859.5,67733.70000000001,86202.3,149087.25,255121
MiniMax-M2.7,1372,31629.268221574344,21448.5,32092.302876898593,2486,11024.5,40618.5,69089.6,94971.10000000002,158983.35999999987,328668
Qwen3.5-397B-A17B,1372,20772.584548104955,14361.0,20174.84829215261,1406,7140.5,26834.75,47373.50000000002,61745.00000000001,96403.87,170295
Qwen3.5-9B,1372,69287.15889212828,41688.5,95491.08068870383,3682,19670.25,79009.5,144364.30000000005,203993.20000000004,572350.9299999992,879824
